ClusterID,Lon,Lat
1979-1983 1,-80.11898326671357,40.5487267094285
1979-1983 2,-81.44733397385843,37.76299347974903
1979-1983 3,-80.5477156958415,36.3984940403845
1979-1983 4,-75.72177557835192,41.05444013677189
1979-1983 5,-82.93162030755212,35.4738173989741
1979-1983 6,-81.4328661019659,36.34051689301021
1984-1988 1,-80.00905124885708,40.201701834726165
1984-1988 2,-75.91376582635716,41.09496433946821
1984-1988 3,-80.40553842055276,36.569098259816606
1984-1988 4,-82.84728746961024,35.285051156309855
1984-1988 5,-86.65289145019072,33.88257423106216
1984-1988 6,-81.38785937158401,37.823513235665146
1989-1993 1,-82.88237890843152,35.26677425058869
1989-1993 2,-82.66884605659563,36.66202791013182
1989-1993 3,-81.3688812589573,37.772722824885335
1989-1993 4,-76.18270366379001,41.062879952398525
1989-1993 5,-85.74977751207129,33.67767696980124
1989-1993 6,-81.39614507572085,36.80151487668855
1994-1998 1,-82.17193035373946,35.18345600782072
1994-1998 2,-81.2116073008649,37.35885498868765
1994-1998 3,-82.97692235284462,37.026630778261115
1994-1998 4,-85.7731585237861,35.70169221869762
1994-1998 5,-86.70051527193566,33.88941670663134
1994-1998 6,-76.21595485917,40.705800570687124
1999-2003 1,-81.57468856684866,37.630870024786574
1999-2003 2,-82.54531976414398,37.035237462778824
1999-2003 3,-83.42294735579235,35.470250067307894
1999-2003 4,-83.38380070917971,37.13280510378229
1999-2003 5,-84.42252853735759,36.346205796254054
1999-2003 6,-76.07993522175012,41.129881239778136
2004-2008 1,-81.97360034033844,37.392011923639146
2004-2008 2,-83.05735557107312,37.31847936241177
2004-2008 3,-81.06819819269504,38.02237353257452
2004-2008 4,-83.26261207941748,35.262813883500066
2004-2008 5,-83.84023188931762,36.34630462245183
2004-2008 6,-81.86611431576779,35.43335399425874
2009-2013 1,-81.40129041200706,37.79641671185142
2009-2013 2,-82.4991987296343,37.406845365869096
2009-2013 3,-84.45902786152978,36.312201292819445
2009-2013 4,-83.5463130519127,37.41622812705563
2009-2013 5,-82.94276445775118,34.74563080805384
2009-2013 6,-83.24708763614926,36.46842165585334
2014-2017 1,-81.9454089291016,38.18735884043689
2014-2017 2,-79.88056472763311,40.40267835072727
2014-2017 3,-81.26574971620506,37.67035837236301
2014-2017 4,-84.21203241745637,36.2328279516079
2014-2017 5,-83.01971442878465,38.8209919208935
2014-2017 6,-78.38768974474215,39.40346428719984
